RecordID,Measurementtimestamp,VehicleID,FleetID,TruckID,Region,OperationalHours,Mileage,EngineHealth,SensorData,VehicleSpeedSensor,Vibration,EngineLoad,EngineCoolantTemp,IntakeManifoldPressure,EngineRPM,SpeedOBD,IntakeAirTemp,MassAirFlowRate,ThrottlePosManifold,VoltageControlModule,AmbientAirTemp,AccelPedalPosD,EngineOilTemp,SpeedGPS,GPSLongitude,GPSLatitude,GPSBearing,GPSAltitude,TurboBoostAndVcmGauge,TripDistance,LitresPer100kmInst,AccelSsorTotal,CO2InGPerKmInst,TripTimeJourney,MaintenanceFlag
11,2/22/2016 16:01,1466,18,174,2,488,188582,0.507509864,51.64164479,137,2.237183088,55.00846157,117,35,2414,24,28,165.1337104,89.99177453,11.99881049,47,51.89103643,73,16,39.66026677,-52.28125922,7.966906801,4791,79.46460406,507.0799696,28.98838626,1.680782962,348.0356283,204,1
12,2/22/2016 16:01,1214,57,58,2,214,85840,0.911467531,22.4977402,43,2.235588146,82.07571408,86,41,2324,113,-7,39.65983364,66.08809208,13.14173779,-11,42.48742849,116,78,53.8932033,40.44464346,242.7524554,1283,80.29602975,111.3723917,16.62940862,4.276410995,148.873803,61,0
13,2/22/2016 16:01,1330,5,479,1,5728,113286,0.693301302,38.35886337,92,2.161155951,4.271783934,79,134,2772,59,15,138.8843846,98.53349285,12.56712179,25,54.35305172,80,60,-54.51429931,31.4676903,290.714156,463,57.93288844,109.1360764,6.536163852,3.703494322,149.0737515,39,0
14,2/22/2016 16:01,1458,26,199,2,7885,66885,0.638224622,49.36561847,135,0.676144668,19.69098885,112,21,3330,44,2,41.25045886,28.55154817,14.22634002,25,48.67662087,120,8,-20.85067901,69.94816361,304.4297888,1940,9.057121764,958.5995698,15.80693276,5.612632284,143.0530315,29,0
15,2/22/2016 16:01,1087,30,209,1,3387,170206,0.594186924,45.00601413,28,2.486163992,32.79493693,83,175,3060,94,43,154.8861815,9.897192368,13.64452508,18,92.06915213,148,123,103.417333,-63.30287641,123.5591772,2522,6.381137634,235.2086659,10.78288034,3.375727802,198.7450648,193,1
16,2/22/2016 16:01,1372,54,248,4,3400,160972,0.673240305,74.80871899,134,3.832352991,72.89051102,114,41,3225,131,14,36.04734315,71.6909871,13.89215395,36,21.96740364,148,97,-159.5733749,43.24976783,113.2530891,1825,40.9226872,295.0565568,25.66228636,4.691469834,471.5766513,294,2
17,2/22/2016 16:01,1099,13,211,4,1037,70702,0.985734045,91.18833263,29,1.682880676,90.17316808,87,105,2208,55,10,148.4066252,55.85622889,12.60344991,13,55.81332192,130,103,154.6188977,-31.7893868,316.5692755,3720,45.43656527,426.6146699,23.56308737,3.197115329,340.6223427,220,1
18,2/22/2016 16:01,1871,83,39,3,2579,62924,0.988539887,30.02722141,46,4.111073626,52.88608704,118,163,1658,55,2,32.44230774,82.57104626,13.06292446,16,90.73972946,83,27,137.5509339,-86.86497329,199.8816476,4529,19.62001554,728.4009142,5.766752045,0.077180219,213.7614195,88,0
19,2/22/2016 16:01,1663,29,252,2,4662,174535,0.665756763,2.454049716,119,2.968802308,70.81692231,78,139,2047,97,10,159.9215669,48.83350068,11.69931108,10,4.841022646,71,76,-99.46925881,-29.64665002,192.0714424,3957,37.09032165,72.71304647,21.31940217,8.322224103,182.3611468,250,2
20,2/22/2016 16:01,1130,3,131,4,3895,129679,0.981845059,89.39454357,73,3.648216147,59.44098829,85,176,3383,58,4,39.99789324,91.59220765,11.88976549,12,51.00595773,134,48,-23.85556797,-24.66065962,69.95683075,2096,9.915055217,526.7527148,20.6424297,9.662209873,411.6044579,11,1
21,2/22/2016 16:01,1661,90,414,1,5806,49587,0.649931725,97.87840657,28,4.498728003,92.44926672,78,108,2189,44,20,92.76921172,50.55058913,13.31896315,-6,47.13750726,91,20,-122.6343927,10.13375354,17.04427457,4373,56.76866973,958.242394,20.0524424,3.574431296,118.6577187,86,1
22,2/22/2016 16:01,1308,58,291,4,8155,65197,0.927240548,43.33511744,120,2.462958277,90.00902266,80,14,893,75,-6,174.5634655,84.04236959,12.83673827,-19,66.98032533,126,37,-95.33169481,69.76846212,251.2319935,4405,63.81443265,568.3718705,29.46691623,7.640183412,463.2810282,45,2
23,2/22/2016 16:01,1769,76,250,2,1376,193276,0.606002105,45.57888773,14,4.240123423,80.79064863,96,69,1723,3,10,150.413489,81.84373349,13.58827362,11,63.11646374,135,99,80.26109253,13.3780241,22.00093682,3217,28.06778146,705.9207393,26.11482881,3.96860962,356.7317334,109,2
24,2/22/2016 16:01,1343,2,441,3,8269,161820,0.913243794,14.41561105,50,0.787843217,27.95821763,99,160,2956,47,10,173.045987,30.46060317,14.53846351,33,16.88687549,134,50,93.75774194,-74.88697026,127.0967346,1141,9.05471223,250.6195832,10.17090671,1.191856698,196.3456709,93,2
25,2/22/2016 16:01,1491,75,413,3,6974,177803,0.676865199,47.55234501,55,3.914208543,37.3118818,83,125,851,135,-2,134.3691499,61.181756,13.98088405,13,77.82691112,80,122,83.45822027,29.05398604,317.6915104,3411,62.18179633,821.6592754,19.51976036,3.069149287,155.0371265,127,2
26,2/22/2016 16:01,1413,28,434,4,4643,71463,0.59786176,30.3349236,63,4.185076424,41.64328237,83,197,1833,107,49,82.60984414,31.70866504,14.31861763,5,99.90759263,70,77,-154.4851247,-19.53560869,327.9233686,1898,4.238965415,966.6275805,16.43191391,7.73936428,188.966717,228,1
27,2/22/2016 16:01,1805,82,446,3,6712,81636,0.967389954,99.43800675,116,4.526661235,0.434051382,98,49,1369,68,39,76.02789656,55.94757794,14.5048849,-17,47.91014628,83,93,-134.8291664,-31.63916728,127.4501897,3780,76.37781475,440.9563356,16.10061633,9.897091114,166.8471509,197,1
28,2/22/2016 16:01,1385,77,52,2,243,83779,0.607092166,18.48479642,92,0.496965059,23.10989462,80,118,3726,38,34,37.53230596,69.05490683,13.43334373,-7,21.00855453,104,121,54.76607606,-51.50499247,144.2783568,3879,93.27294437,558.4220069,24.48129553,1.550420345,451.7852559,56,0
29,2/22/2016 16:01,1191,86,374,2,8833,166850,0.995917613,37.8586732,1,0.673145477,71.38087455,84,66,1155,77,-2,93.77403337,78.04461978,14.83386952,17,3.05912311,72,50,13.90726154,17.77992697,209.905161,4908,49.39529304,994.992495,28.08828162,8.24777561,398.8199601,89,2
30,2/22/2016 16:01,1955,76,14,3,2539,177637,0.554286946,61.6501982,109,0.210848766,54.43905165,113,68,742,18,-2,181.0437107,64.14143381,14.26201103,37,30.29941643,122,57,-34.20775805,-23.17869243,353.6566799,4217,77.29824928,180.2185867,15.10593993,4.120466846,371.0153126,153,1
31,2/22/2016 16:01,1276,2,419,1,6451,123788,0.505010392,34.51235518,31,2.57840984,95.77477951,83,37,2895,58,-2,156.0394966,96.45318796,13.18547125,-2,12.64061044,99,74,61.72166741,88.63175506,162.4112052,2734,81.97081161,529.3985752,28.88671945,5.334994334,476.7459072,204,1
32,2/22/2016 16:01,1160,7,156,3,8354,58246,0.935396773,47.44235391,110,1.045026889,2.915654989,96,142,3504,56,3,16.92432659,35.58283834,11.32300539,41,89.17054219,104,54,143.1993,42.708045,283.8837293,4457,39.93039534,681.2850966,15.84769999,9.446949013,293.1735431,205,2
33,2/22/2016 16:01,1459,26,442,3,9559,183258,0.793302204,97.34836332,53,2.882090968,37.82897162,72,137,1865,138,47,46.36805436,42.48568868,13.85807502,21,85.17411936,123,9,-94.8393559,-69.74763643,163.2568122,3870,18.97165557,194.7521384,23.17681575,9.703741265,313.9316449,173,1
34,2/22/2016 16:01,1313,90,30,4,1787,126671,0.710813151,50.80713761,41,4.472189127,70.72738712,81,11,1974,40,11,136.399976,55.362255,13.78286897,5,86.7784354,132,117,93.81242626,-51.50516821,36.90758412,2568,53.37415177,899.2415808,11.83221093,5.161599596,340.2035987,88,0
35,2/22/2016 16:01,1021,88,90,1,2111,135430,0.540981963,91.03204385,8,1.702424158,13.37004972,83,50,1395,10,45,51.7835386,61.01925182,12.3287345,-19,26.03408313,123,40,-97.52266129,-31.97866778,225.0198424,3798,30.91821295,98.92831338,21.7716112,7.526246023,202.2552516,244,1
36,2/22/2016 16:01,1252,76,391,3,9932,183724,0.787446265,4.308286875,18,0.126201219,49.96221772,110,75,2969,88,47,87.52375344,50.32063625,12.39139138,-4,36.7892904,76,30,-50.48594081,66.31187989,112.2670371,2436,0.896454495,923.9588411,28.72851173,4.198464747,111.4794456,139,2
37,2/22/2016 16:01,1747,16,167,4,6333,51558,0.696862793,11.98183439,133,4.460347562,1.585198496,86,42,1843,23,-7,185.3014867,29.08378922,13.81022962,47,23.53150018,105,7,72.77124746,-85.58702337,213.3903023,4062,63.06557657,563.8383154,11.28728919,6.012610992,432.7116798,140,0
38,2/22/2016 16:01,1856,23,351,4,9636,36244,0.741810956,94.45115948,97,3.147229756,18.01534588,86,131,1310,74,32,186.2230328,21.77861748,13.91786384,10,78.39611831,103,61,152.8943242,81.19257172,93.63116318,3602,33.32603927,503.3261521,18.67577535,2.40023375,370.6358605,152,1
39,2/22/2016 16:01,1560,40,69,4,6890,161649,0.815195931,12.87311117,0,1.087358307,93.81891231,117,47,3315,43,19,60.00028512,66.92948329,13.4515903,-19,89.48544117,138,117,139.269074,-38.99838856,138.1564875,2629,36.5824025,103.5170273,5.207635657,6.948477472,192.502454,151,2
40,2/22/2016 16:01,1474,60,163,2,3609,34386,0.819966803,73.65511954,5,3.49256458,59.933229,103,38,856,87,1,120.9179197,91.26815415,11.9242493,32,42.80065168,85,105,-113.6220265,36.07545629,185.540308,3368,59.27752283,745.3307545,23.55166358,5.14820001,212.645682,247,0
41,2/22/2016 16:01,1058,73,242,4,5511,199739,0.980299621,44.60036042,98,3.200818136,75.9230411,99,114,3269,16,26,143.2901788,86.91765912,14.3286845,27,85.68147395,79,61,-59.39778725,-40.94762934,123.1834393,29,86.76578649,415.1594406,28.85033876,3.713395989,475.0457309,262,2
42,2/22/2016 16:01,1510,32,495,4,7649,27312,0.827526707,40.67483292,73,1.962599908,10.21810939,92,117,3695,59,18,51.31179884,59.80378085,14.84129317,48,35.98100827,110,121,-89.61231859,-64.82783816,343.0741625,4005,57.42120805,862.7501305,16.18317435,5.368924076,455.5256795,193,0
43,2/22/2016 16:01,1681,15,383,2,3933,112983,0.66970207,65.92202643,30,1.139506221,23.4590869,105,59,1921,36,5,26.8886905,22.9350049,12.281858,42,26.50026594,119,104,-125.2734114,-37.37947727,203.561793,2984,72.62675853,89.36535605,16.64000597,3.148004147,348.8360621,297,0
44,2/22/2016 16:01,1475,13,52,2,3301,13718,0.664816414,72.76008253,71,4.962885903,19.19192136,94,77,563,121,4,72.24581125,94.48284302,14.73860178,29,46.97641414,117,61,-154.1194297,-87.78314863,341.2913464,48,69.88585991,916.2518825,7.050190396,6.64996445,108.3765699,151,0
45,2/22/2016 16:01,1699,5,142,4,5103,70536,0.738580476,93.19692803,127,3.250798549,27.47586737,109,80,3794,104,-3,192.0211418,42.85420518,12.17582112,6,51.38140925,140,18,83.63387976,23.90561365,46.73364913,2890,96.38405906,561.6545879,5.404274453,4.17189257,375.1166832,104,1
46,2/22/2016 16:01,1975,75,63,3,3064,111766,0.62966385,25.68854889,38,0.108563996,25.83145917,101,195,3506,51,-1,169.6900344,8.859747416,11.72912562,13,0.867546392,146,102,-84.21724018,52.25224803,123.914087,1441,49.73599955,686.3983456,10.01605632,5.716283549,212.9197128,158,0
47,2/22/2016 16:01,1782,74,292,1,1178,153527,0.688219489,69.80803777,56,0.715407066,56.35297783,92,139,3535,7,4,31.48014124,67.07939884,12.68503856,16,70.17174559,139,20,2.366190188,-89.90967778,185.1865028,4294,13.33180218,756.3663274,16.17761603,6.1483514,184.4582262,16,2
48,2/22/2016 16:01,1189,52,91,2,6915,52078,0.921056386,34.22858177,124,1.312329678,70.5688492,110,144,2596,38,49,176.435253,92.36204229,12.73398657,15,14.41980027,93,106,-120.3063708,13.84310233,317.8323435,4933,13.31404199,786.5524103,7.994768472,0.333192322,144.750854,20,0
49,2/22/2016 16:01,1957,77,152,1,6522,20542,0.929880801,71.76097449,30,4.084372209,54.84379948,85,119,1979,79,35,135.7411515,16.02579859,14.44135242,25,25.12770806,71,64,138.4322855,-16.54352403,158.0988468,317,38.47987436,974.8333207,14.01937805,4.300965154,461.3191575,38,0
50,2/22/2016 16:01,1686,41,424,2,7466,122575,0.813896239,14.21161259,12,2.425785819,29.90504677,101,184,2983,28,22,103.8698234,55.60804787,13.40721621,21,67.31109152,144,71,-174.6690983,42.40719611,252.4542844,3344,0.525021614,787.2324483,8.581644654,3.638952713,392.3488904,153,0
51,2/22/2016 16:01,1957,53,157,4,1746,126204,0.791420471,45.75425497,70,0.394618352,69.48164293,112,38,3052,72,-3,111.4074063,69.43799026,11.18304318,49,97.3325595,137,24,-56.7613004,-61.3905795,222.4223106,1409,89.80210182,744.2498845,6.542477732,9.599691559,282.6518919,162,0
52,2/22/2016 16:01,1562,50,309,2,8374,134562,0.713549916,18.36297277,50,1.398956103,55.18753733,79,198,3909,134,30,150.5045172,12.19637261,12.40079999,-13,93.26133666,104,75,127.9524647,-21.61057276,2.446810321,4209,50.72541173,853.3027261,24.93469274,0.506206356,411.6279705,278,2
53,2/22/2016 16:01,1875,15,365,4,7457,147842,0.817949458,33.64462298,64,4.905503838,63.85389987,103,112,3466,77,17,105.2919691,37.93440699,11.12499996,18,98.08604717,110,34,-46.12119054,63.985813,233.1754868,4988,39.71421637,129.8496644,28.92751323,9.348728925,482.3698036,115,0
54,2/22/2016 16:01,1566,7,150,1,7295,127593,0.903026673,71.56294075,44,3.86255835,21.15752928,102,94,1130,65,2,109.6890084,64.38324573,11.30111427,43,4.248397384,139,128,113.6812096,-36.74817152,207.8068086,2557,87.00127556,895.2595698,29.77459801,4.291205197,137.5909193,16,0
55,2/22/2016 16:01,1243,40,328,3,4715,105299,0.868923529,23.33498495,112,0.122830281,95.96346646,97,119,3945,18,46,72.66905277,92.92213951,13.65351434,28,34.66900165,100,109,-148.0483043,-26.71316266,115.1682144,3241,82.77024404,329.9447626,25.77331012,3.903197932,497.1813171,88,0
56,2/22/2016 16:01,1831,28,271,4,4270,139649,0.517729758,68.48839038,52,4.209630609,32.7743569,76,168,1939,55,10,153.764785,27.66053857,11.79972709,23,2.361721256,95,38,-105.2910378,63.58253573,191.2848858,693,22.55207038,761.7330018,26.69398559,1.722305483,315.0896823,10,1
57,2/22/2016 16:01,1504,32,369,1,7624,118211,0.865564999,49.5940194,25,1.042112523,36.96929004,109,100,2903,100,41,72.76246787,4.659964611,13.17431751,5,78.63980448,80,111,14.60175704,24.96883948,21.11065688,2453,49.91110001,724.0217906,5.588768796,8.44080736,121.1800245,162,0
58,2/22/2016 16:01,1130,99,69,1,6220,125897,0.859973834,9.203655706,109,1.720794152,54.05066775,71,42,3327,0,30,177.0267211,68.70295358,12.51691023,6,55.88927043,132,88,113.4246648,12.21362542,27.60609396,4559,36.53225951,317.5261403,5.815007739,0.332878079,396.098475,109,0
59,2/22/2016 16:01,1484,15,116,2,361,170549,0.549495268,38.66946852,11,0.68010314,4.969192982,104,176,1197,134,2,155.2203624,41.10330713,11.35599221,-11,1.076331391,125,5,-127.1115041,-87.06261589,267.4177764,4122,98.12898873,581.287583,20.74722213,9.236839974,114.4329466,125,1
60,2/22/2016 16:01,1818,85,192,4,5484,19322,0.575123682,86.9206203,15,0.151837256,19.1167345,117,23,2022,79,48,101.4807135,91.48753055,14.65039409,8,77.03472332,100,44,103.6243884,-62.66768832,305.4712515,2375,54.79309087,951.4410097,14.32081181,4.660352473,424.577387,174,1
61,2/22/2016 16:01,1646,70,4,1,451,174957,0.893954256,98.9290898,90,2.569655881,81.26935803,76,43,651,6,22,119.2174362,22.83819341,12.45229636,8,21.49372869,109,109,155.2755854,-52.62681439,186.9797467,504,78.62369385,894.2915454,11.52847,5.756831794,336.1087215,59,1
62,2/22/2016 16:01,1020,65,75,3,5604,62813,0.779494789,36.89210973,51,1.501332351,79.38747667,82,168,841,81,11,189.2833179,7.487566912,14.68120948,39,23.58273975,86,68,-174.8708765,12.96964307,206.2422123,2067,76.09191159,582.5342013,20.18360387,3.730691741,374.0965527,298,0
63,2/22/2016 16:01,1840,4,402,2,1646,56442,0.910814495,5.487473122,82,1.864814586,14.18213919,72,185,1781,22,31,104.4898685,68.53696792,12.68364085,5,60.44495014,72,116,-94.97181223,53.21993131,13.1232302,3911,67.9525009,90.73797563,11.20334766,9.020972514,272.2830223,232,0
64,2/22/2016 16:01,1166,11,298,2,171,144600,0.592372067,13.01877743,75,0.928075599,58.9687832,94,35,715,56,4,157.1326828,94.32006238,14.7351113,10,2.644231197,113,85,-136.1800947,-52.84826769,119.6368874,2759,94.16204847,802.7426715,5.979345526,9.729483019,491.1206403,127,1
65,2/22/2016 16:02,1273,26,241,1,800,153211,0.515307382,78.81484139,109,4.051618259,6.626028675,76,189,2811,22,11,45.25864547,55.95196605,13.19420447,27,72.37313893,144,75,-135.6246978,-65.3514362,356.8839417,10,88.58253697,509.5119285,11.74354723,1.626423426,266.4559843,51,1
66,2/22/2016 16:02,1387,61,30,4,155,114097,0.580970877,65.57870732,113,0.95007121,7.462188438,113,125,600,23,8,66.07233683,47.02435474,13.06737518,-9,32.37642433,133,0,96.08975132,-62.29361765,257.9551571,814,76.08469873,888.2924176,18.23695386,8.316418578,114.692641,194,1
67,2/22/2016 16:02,1600,37,143,2,6984,80447,0.726285023,28.50119992,57,2.634761933,79.96026665,96,41,628,84,35,34.62762181,23.72001831,12.56336262,41,43.11846254,120,121,-115.8061283,-40.31597236,67.27167533,2531,54.0194689,28.130234,23.38201207,3.564992004,315.8555716,220,0
68,2/22/2016 16:02,1315,23,326,4,9301,12212,0.761646378,39.12985627,0,2.399977649,47.05303691,91,14,1264,85,1,83.12543977,10.15457193,14.43690233,41,1.498161317,122,21,-33.21234565,-47.61843289,335.1727642,2405,68.7056095,673.3815801,5.559509545,3.051132921,444.0566132,138,2
69,2/22/2016 16:02,1013,93,183,1,3288,39867,0.928850561,81.11502312,89,4.606659116,92.65390997,97,189,801,35,37,186.8441614,83.7590115,13.53097295,37,23.01237668,76,71,84.05775186,3.20035583,255.5758762,2882,44.10812486,829.2876449,22.87584334,5.137574274,356.7623504,283,1
70,2/22/2016 16:02,1241,85,437,1,1294,69662,0.858100265,41.3109947,87,4.939892232,47.81222211,74,135,2807,55,42,21.11080046,32.77066199,11.19401429,28,59.49682571,145,55,-170.4400867,-27.76463732,262.5961321,4399,47.84372363,109.9973808,16.7401592,4.894087558,160.7072071,198,0
71,2/22/2016 16:02,1776,91,16,4,8317,103716,0.99519532,75.57732118,47,4.538206549,80.69599755,71,198,3131,80,14,150.0425729,13.19135752,14.29060416,28,34.69424891,147,77,171.6232411,-46.8689996,267.4127871,849,31.51063577,138.5474919,6.549463992,2.159214002,237.3272626,64,2
72,2/22/2016 16:02,1345,40,111,3,6915,52672,0.539359796,29.52057014,61,3.694285858,63.87651812,117,28,2252,117,15,170.7394847,40.58193123,12.72823447,3,48.05063253,89,29,-105.4491005,-68.12306298,30.29431614,3008,94.90648319,320.3390573,7.774134993,7.263476361,214.3665208,217,1
73,2/22/2016 16:02,1564,77,360,2,9251,86682,0.565110536,72.48117986,131,2.210414777,43.05994801,105,131,3091,138,14,109.6154143,78.63207894,13.83532403,34,42.28602239,134,29,79.74250665,23.16267207,243.3087025,4649,99.93860677,359.3428064,27.9462806,1.573412895,113.1896881,114,1
74,2/22/2016 16:02,1897,23,201,1,3332,65624,0.542177797,46.63974431,68,0.739706616,55.48709981,93,82,3331,100,16,146.5483303,46.16720716,12.75301819,-6,46.13186256,86,37,160.052777,-21.21115871,99.4264495,2027,9.606722516,670.9682189,27.08628067,7.752173315,328.0068262,75,1
75,2/22/2016 16:02,1339,16,107,3,2325,139065,0.769229023,54.53542817,68,4.362474904,93.42287962,101,154,530,54,28,184.0436743,34.82746036,13.46656335,12,23.7410467,116,89,52.0370491,45.51857883,295.4637728,4024,31.96995737,391.1686433,16.43017002,8.446460201,292.9152049,167,0
76,2/22/2016 16:02,1091,94,379,3,3858,16654,0.633430385,59.87331124,51,3.609623794,7.585593211,91,47,632,24,18,129.65407,27.32879788,14.78188095,-3,3.991169011,108,123,53.18883082,74.88534144,188.5072477,2056,33.00986455,917.2961026,25.43215689,4.020125062,293.8592786,112,0
77,2/22/2016 16:02,1366,61,162,4,8694,5246,0.84181647,45.05746945,106,0.745807605,52.94709483,111,158,1438,40,19,184.6063054,48.99449469,13.15693116,38,33.15666496,145,120,-93.09888803,-24.10898577,83.21082869,3133,0.842855808,604.9101046,7.903125407,9.924839417,169.9270787,201,2
78,2/22/2016 16:02,1955,68,283,4,815,61714,0.566345444,46.61356197,45,0.531376796,5.18460036,75,23,3200,47,10,59.19032489,58.54269391,11.29715452,28,34.84669788,76,52,56.15446482,48.57003815,266.421511,1113,53.95851928,343.1039961,23.37075686,8.824295475,269.0826431,240,1
79,2/22/2016 16:02,1454,80,269,4,4632,49738,0.5515957,26.57086207,84,3.40405774,55.54403736,92,62,1659,50,12,13.4260006,7.910020348,14.03087043,-6,60.28543768,109,100,-102.7654897,-23.0513858,105.720964,1445,59.61216442,550.9573506,24.13914862,3.991299927,167.3285149,216,1
80,2/22/2016 16:02,1427,31,484,3,2765,175817,0.730082735,98.57643781,29,4.539000446,60.69302798,115,23,3454,7,-1,43.02520327,50.65061097,12.37665298,40,95.94309589,72,34,-121.5634159,78.65279175,237.9447959,1892,85.25911966,417.812635,24.17963234,4.968468068,199.0071698,201,1
81,2/22/2016 16:02,1508,53,155,2,1547,192730,0.687949177,90.5815056,32,1.147854846,80.74959085,83,113,1206,131,20,188.2075289,8.983942121,13.71388577,5,26.97018862,121,52,73.22092981,-38.07722855,188.1883294,3197,21.67437358,841.5135611,17.78250721,3.398167483,235.5681053,239,1
82,2/22/2016 16:02,1775,25,73,4,2888,61247,0.914582458,52.73828276,108,2.118759088,79.81810164,84,34,2580,100,-9,101.8710446,34.51851716,11.61509535,45,46.42955551,128,55,65.06156395,-0.568960854,180.409689,3299,27.47984826,239.444795,18.23848846,8.856489673,274.471357,226,0
83,2/22/2016 16:02,1942,44,197,2,6086,151250,0.918777038,3.462941256,57,4.825737593,1.009323845,112,125,3191,47,0,98.65968991,49.59223821,13.26404112,0,31.74695346,116,119,-105.3917947,-88.76895318,266.6672951,242,66.65431778,461.775406,16.06110376,4.633692735,103.5155724,214,2
84,2/22/2016 16:02,1034,12,243,4,5116,123055,0.558714334,16.84279709,105,4.735335584,7.119048289,75,27,3046,13,29,171.13576,45.67692206,12.39904867,-7,26.24300221,147,27,12.73494942,-46.54678481,266.882381,4147,86.1504151,660.3940994,11.09465227,9.943433938,470.5635844,184,1
85,2/22/2016 16:02,1205,90,86,3,539,33906,0.90616139,85.39352114,92,3.523616298,68.45373746,91,86,993,32,28,164.847374,6.285281158,12.27351009,-13,72.1984414,124,1,-55.74389314,-62.68542362,205.875423,2471,54.45700111,532.7720459,20.72648533,5.342583437,399.7967921,82,1
86,2/22/2016 16:02,1080,97,287,2,6424,138761,0.782082491,93.08120731,36,2.422884207,18.2867411,113,193,3721,114,13,96.28392016,30.53814433,12.34917498,20,3.168249223,117,73,47.01808521,38.65194193,47.57957337,2644,35.27688157,486.1511996,19.56951935,7.628290274,137.1689391,129,1
87,2/22/2016 16:02,1931,92,259,2,1985,169427,0.751779137,16.12921046,14,1.927147081,52.81321446,93,146,2861,121,39,150.9685856,36.44430335,14.02408921,7,79.13406477,78,41,131.6935896,-77.33781701,147.4114935,4962,11.60089635,747.2413424,28.31075712,3.707160134,309.9875724,236,2
88,2/22/2016 16:02,1561,9,286,3,2799,72004,0.547381688,73.45186564,92,2.016130367,23.17181562,83,137,3503,76,-5,106.7140323,47.35275009,13.9736693,-2,83.39387497,114,25,-66.70271179,18.09506153,350.8511926,374,64.41568211,242.0916845,23.51244598,8.776587505,233.8189451,137,1
89,2/22/2016 16:02,1871,12,149,2,9345,70768,0.869815384,62.30233096,9,2.573917503,83.45924546,94,32,2901,109,17,72.8081941,76.20344362,12.27417931,16,68.758502,132,115,16.60510938,-55.82795605,80.56567097,922,70.82779702,366.974496,27.32780768,9.269657168,401.4863624,214,2
